actor,year,polity,eu,gdppc,gdppc_log,gniam,gniam_log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAB,1995,0,0,8440.034526,3.926344223,558753571.2,8.747220312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANG,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,1995,7,0,7383.70451,3.868274308,2.56E+11,11.40823997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUL,1995,10,0,20446.71985,4.310623647,3.49E+11,11.54282543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,1995,-9,0,9543.390109,3.979702677,5852426968,9.767336003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,1995,0,0,8451.958599,3.926957361,2218292104,9.346018733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFO,1995,-5,0,229.8326601,2.361411744,2559493173,9.408153975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,1995,0,0,4021.006504,3.604334776,794381200,8.900028958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNG,1995,6,0,322.0873898,2.507973722,39239825917,10.59372707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,1995,9,0,856.3651129,2.932658966,6481981217,9.811707768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOT,1995,7,0,3064.586353,3.486371863,4795946924,9.680874368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,1995,8,0,4704.961546,3.672556078,6.05E+11,11.78175537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRU,1995,0,0,15827.98736,4.199425695,4659597477,9.668348401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUI,1995,0,0,168.6271677,2.226927546,916444361.7,8.962106104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUL,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAM,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,1995,10,0,20678.95044,4.315528492,6.11E+11,11.78604121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAO,1995,-5,0,822.3632128,2.915063675,11352340619,10.05508541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDI,1995,-6,0,769.2556836,2.886070714,9904300972,9.995823829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,1995,5,0,340.39968,2.531989143,1137803733,9.056067354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,1995,8,0,5094.505484,3.707102034,63599181186,10.80345152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,1995,7,0,2571.46819,3.410181156,85679675751,10.93287781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS,1995,10,0,3240.711145,3.510640323,11285050591,10.05250351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,1995,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
