dispute_number,title_of_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,status,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai,no_third_parties
1,MAL - Prohibition of Imports of Polyethylene and Polypropylene,SIN,,,,,,,,,MAL,,,,,1995,No,1995,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,USA - Standards for Reformulated and Conventional Gasoline,VEN,,,,,,,,,USA,,,,,1995,Yes,1997,Implementation notified by respondent,M (Petroleum),AUL,CAN,EU,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3,Korea - Measures Concerning the Testing and Inspection of Agricultural Products,USA,,,,,,,,,ROK,,,,,1995,No,1995,In consultations,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,USA - Standards for Reformulated and Conventional Gasoline,BRA,,,,,,,,,USA,,,,,1995,Yes,1997,Implementation notified by respondent,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,Korea - Measures Concerning the Shelf-Life of Products,USA,,,,,,,,,ROK,,,,,1995,No,1995,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,USA - Imposition of Import Duties on JPN under Sections 301 and 304 of the Trade Act 1974,JPN,,,,,,,,,USA,,,,,1995,No,1995,"Settled or terminated (withdrawn, mutually agreed solution)",U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,EU1995 - Trade Description of Scallops,CAN,,,,,,,,,EU,,,,,1995,Yes,1996,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),AUL,CHL,ICE,JPN,PER,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
8,JPN - Taxes on Alcoholic Beverages,EU,,,,,,,,,JPN,,,,,1995,Yes,1998,Mutually acceptable solution on implementation notified,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,EU1995 - Duties on Imports of Cereals,CAN,,,,,,,,,EU,,,,,1995,Yes,Ongoing,"Panel established, but not yet composed",E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,JPN - Taxes on Alcoholic Beverages,CAN,,,,,,,,,JPN,,,,,1995,Yes,1998,Mutually acceptable solution on implementation notified,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,JPN - Taxes on Alcoholic Beverages,USA,,,,,,,,,JPN,,,,,1995,Yes,1998,Mutually acceptable solution on implementation notified,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,EU1995 - Trade Description of Scallops,PER,,,,,,,,,EU,,,,,1995,Yes,1998,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),AUL,CAN,ICE,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
