dispute_number,state_a,state_b,current_year,state_a_code,state_b_code,dyad_pair_code,in_trade_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,no_years,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai
1,SIN,MAL,1995,SIN1995,MAL1995,MAL1995SIN1995,1,SIN,,,,,,,,,MAL,,,,,1995,No,1995,1,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VEN,USA,1995,VEN1995,USA1995,USA1995VEN1995,1,VEN,,,,,,,,,USA,,,,,1995,Yes,1997,3,M (Petroleum),AUL,CAN,EU,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VEN,USA,1996,VEN1996,USA1996,USA1996VEN1996,1,VEN,,,,,,,,,USA,,,,,1995,Yes,1997,3,M (Petroleum),AUL,CAN,EU,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VEN,USA,1997,VEN1997,USA1997,USA1997VEN1997,1,VEN,,,,,,,,,USA,,,,,1995,Yes,1997,3,M (Petroleum),AUL,CAN,EU,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,USA,ROK,1995,USA1995,ROK1995,ROK1995USA1995,1,USA,,,,,,,,,ROK,,,,,1995,No,1995,1,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BRA,USA,1995,BRA1995,USA1995,BRA1995USA1995,1,BRA,,,,,,,,,USA,,,,,1995,Yes,1997,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BRA,USA,1996,BRA1996,USA1996,BRA1996USA1996,1,BRA,,,,,,,,,USA,,,,,1995,Yes,1997,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BRA,USA,1997,BRA1997,USA1997,BRA1997USA1997,1,BRA,,,,,,,,,USA,,,,,1995,Yes,1997,3,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,USA,ROK,1995,USA1995,ROK1995,ROK1995USA1995,1,USA,,,,,,,,,ROK,,,,,1995,No,1995,1,J (Other Agricultural Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JPN,USA,1995,JPN1995,USA1995,JPN1995USA1995,1,JPN,,,,,,,,,USA,,,,,1995,No,1995,1,U (Transport Equipment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
